source,target,step,type,amount,log_amount,is_fraud,balance_diff_orig,balance_diff_dest,orig_account_emptied,edge_id
C1351320610,C1808132497,440,TRANSFER,10000000.0,16.118095750958314,1,-10000000.0,0.0,0,0
C450794646,C1717549281,274,CASH_OUT,112270.3,11.628673542614433,0,0.0,112270.29999999981,0,1
C693693673,C414217835,211,CASH_OUT,81181.91,11.30446003601798,0,-30211.0,81181.91,1,2
C1877484515,C492801532,422,CASH_OUT,107312.63,11.583510947578567,0,-90556.0,107312.63,1,3
C281184853,C1338947428,619,CASH_OUT,336497.7,12.726349564760794,0,0.0,336497.69,0,4
C555912823,C672444715,210,CASH_OUT,49225.63,10.804190016214553,0,-22147.0,49225.630000000005,1,5
C978877152,C451902366,164,TRANSFER,150253.5,11.920085802032155,0,0.0,150253.5,0,6
C1357187043,C39713115,17,CASH_OUT,372298.27,12.827453299074572,0,-2134.0,372298.2599999998,1,7
C1777837493,C953987805,274,CASH_OUT,15578.27,9.653696463384778,0,0.0,15578.270000000019,0,8
C1212009683,C1055182698,261,CASH_OUT,100838.29,11.521283340420267,0,-30577.0,100838.29,1,9
C436665224,C47711715,308,CASH_OUT,336699.6,12.72694938714936,0,-6666.0,336699.6,1,10
C1792981769,C1555031038,130,CASH_OUT,449982.55,13.016966305522777,0,-796.0,208149.99,1,11
C1690533450,C558426511,14,CASH_OUT,154743.23,11.949528903906632,0,0.0,154743.22999999998,0,12
C142689303,C1583559098,16,CASH_OUT,216149.67,12.283730989790257,0,-216149.66999999998,216149.67999999993,0,13
C1330877150,C1087059259,18,CASH_OUT,187448.86,12.141266675297949,0,-187448.86,-87957.89000000001,0,14
C1695532845,C926501859,540,CASH_OUT,274178.21,12.521537222666899,0,-40378.0,274178.20999999996,1,15
C606631347,C1095446005,16,CASH_OUT,132040.3,11.790870031420026,0,0.0,548077.6100000001,0,16
C1746640266,C1676330916,258,CASH_OUT,176106.85,12.078851870435694,0,0.0,176106.84999999998,0,17
C1927010292,C1386960085,276,CASH_OUT,201491.98,12.213509821052316,0,-5738.0,201491.98,1,18
C1792674999,C640316121,356,CASH_OUT,174273.24,12.068385429421264,0,-7077.0,174273.22999999998,1,19
C1022237188,C921915688,184,TRANSFER,1124985.99,13.933282029109344,0,-13336.0,1124985.99,1,20
C586906042,C329367286,132,CASH_OUT,249856.98,12.428647955425806,0,-46243.0,249856.98,1,21
C595363360,C1854657532,667,CASH_OUT,105876.58,11.570038800016366,0,0.0,105876.58000000002,0,22
C253515618,C639464273,14,TRANSFER,928929.68,13.741789397143249,0,-23334.87,1772054.5899999999,1,23
C612004317,C510078603,333,TRANSFER,786829.91,13.575768650439663,0,-10231.0,786829.9100000001,1,24
C589364726,C375848187,471,CASH_OUT,238314.03,12.381348732856182,0,-105525.0,238314.03,1,25
C2050045450,C1174502789,274,CASH_OUT,258373.96,12.462167142170317,0,-10661.0,258373.95999999996,1,26
C1594448166,C1027900192,138,CASH_OUT,1976.33,7.589502728816209,0,-1069.0,1976.33,1,27
C1011810352,C374856086,493,CASH_OUT,106513.4,11.576035466259002,0,-11440.0,106513.4,1,28
C167477003,C1718470625,156,TRANSFER,340979.18,12.739579631409281,0,-5066.0,340979.18000000017,1,29
C487363153,C1908047930,691,TRANSFER,116636.06,11.666822341163497,1,-116636.06,0.0,1,30
C216572725,C530333327,398,CASH_OUT,9980.29,9.208467619469381,0,0.0,9980.29999999993,0,31
C42537157,C1623938409,139,CASH_OUT,120865.46,11.702441578760178,0,-11447.0,120865.45999999999,1,32
C100652076,C1156278812,352,CASH_OUT,272448.86,12.515209876155359,0,0.0,272448.8600000001,0,33
C1830956137,C2013178452,179,CASH_OUT,101912.19,11.531876651462168,0,0.0,101912.19000000006,0,34
C784010152,C886412474,378,CASH_OUT,224580.96,12.321995997490708,0,-99377.0,224580.96,1,35
C990002647,C851029039,210,CASH_OUT,8290.79,9.023021147619922,0,-8290.790000000008,8290.789999999999,0,36
C784062513,C393550507,327,CASH_OUT,60145.51,11.00453869810687,0,0.0,60145.51000000001,0,37
C1382048859,C1085922461,14,TRANSFER,611870.48,13.324277539441375,0,-18372.0,743088.22,1,38
C2058471571,C567050368,210,CASH_OUT,193828.43,12.174733824494746,0,-8064.0,193828.42999999993,1,39
C2100325208,C78821199,393,CASH_OUT,223572.51,12.317495542761893,0,-91655.0,223572.51,1,40
C1241089489,C357250586,189,CASH_OUT,175555.78,12.075717802326151,0,-75710.0,175555.78000000003,1,41
